Large_B/P,Large_ROE,Large_S/P,Large_Return_Rate_in_the_last_quarter,Large_Market_Value,Small_systematic_Risk,Annual_Return,Excess_Return,Systematic_Risk,Total_Risk,Abs._Win_Rate,Rel._Win_Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.139,0.01,1.33,0.149,0.6629999999999999,0.525
0.0,1.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.01,1.17,0.10800000000000001,0.6629999999999999,0.65
0.0,0.0,1.0,0.0,0.0,0.0,0.17300000000000001,0.018000000000000002,1.3,0.14400000000000002,0.638,0.513
0.0,0.0,0.0,1.0,0.0,0.0,0.096,-0.002,1.39,0.14400000000000002,0.613,0.475
0.0,0.0,0.0,0.0,1.0,0.0,0.096,0.001,1.04,0.087,0.725,0.5379999999999999
0.0,0.0,0.0,0.0,0.0,1.0,0.07,-0.005,1.1,0.11,0.563,0.46299999999999997
0.5,0.5,0.0,0.0,0.0,0.0,0.195,0.026000000000000002,0.97,0.105,0.738,0.638
0.5,0.0,0.5,0.0,0.0,0.0,0.16399999999999998,0.016,1.32,0.149,0.65,0.513
0.0,0.5,0.5,0.0,0.0,0.0,0.185,0.022000000000000002,1.06,0.109,0.675,0.65
0.5,0.0,0.0,0.5,0.0,0.0,0.15,0.015,1.05,0.113,0.7,0.513
0.0,0.5,0.0,0.5,0.0,0.0,0.159,0.015,1.17,0.115,0.675,0.638
0.0,0.0,0.5,0.5,0.0,0.0,0.17,0.018000000000000002,1.16,0.12300000000000001,0.688,0.563
0.5,0.0,0.0,0.0,0.5,0.0,0.14,0.011000000000000001,1.09,0.107,0.7,0.575
0.0,0.5,0.0,0.0,0.5,0.0,0.12300000000000001,0.008,1.01,0.08800000000000001,0.65,0.6629999999999999
0.0,0.0,0.5,0.0,0.5,0.0,0.145,0.013000000000000001,1.07,0.10300000000000001,0.7,0.563
0.0,0.0,0.0,0.5,0.5,0.0,0.09,-0.001,1.15,0.109,0.6629999999999999,0.5
0.5,0.0,0.0,0.0,0.0,0.5,0.11800000000000001,0.009000000000000001,0.97,0.109,0.688,0.5
0.0,0.5,0.0,0.0,0.0,0.5,0.154,0.017,0.99,0.10099999999999999,0.675,0.625
0.0,0.0,0.5,0.0,0.0,0.5,0.138,0.013000000000000001,1.04,0.114,0.638,0.55
0.0,0.0,0.0,0.5,0.0,0.5,0.10099999999999999,0.003,1.12,0.122,0.613,0.488
0.0,0.0,0.0,0.0,0.5,0.5,0.09300000000000001,0.001,1.01,0.091,0.625,0.5
0.333,0.333,0.333,0.0,0.0,0.0,0.192,0.024,1.08,0.11699999999999999,0.7,0.65
0.333,0.333,0.0,0.333,0.0,0.0,0.183,0.023,0.98,0.102,0.725,0.575
0.333,0.0,0.333,0.333,0.0,0.0,0.16399999999999998,0.017,1.14,0.124,0.7,0.488
0.0,0.333,0.333,0.333,0.0,0.0,0.184,0.022000000000000002,1.07,0.109,0.7,0.613
0.333,0.333,0.0,0.0,0.333,0.0,0.147,0.015,0.95,0.092,0.713,0.625
0.333,0.0,0.333,0.0,0.333,0.0,0.168,0.017,1.17,0.122,0.675,0.588
0.0,0.333,0.333,0.0,0.333,0.0,0.146,0.013999999999999999,0.99,0.09300000000000001,0.675,0.6
0.333,0.0,0.0,0.333,0.333,0.0,0.127,0.01,0.99,0.096,0.688,0.5379999999999999
0.0,0.333,0.0,0.333,0.333,0.0,0.124,0.006999999999999999,1.09,0.10099999999999999,0.675,0.588
0.0,0.0,0.333,0.333,0.333,0.0,0.138,0.012,1.04,0.1,0.675,0.6
0.333,0.333,0.0,0.0,0.0,0.333,0.17,0.024,0.82,0.094,0.738,0.563
0.333,0.0,0.333,0.0,0.0,0.333,0.135,0.012,1.07,0.11900000000000001,0.638,0.525
0.0,0.333,0.333,0.0,0.0,0.333,0.185,0.024,0.98,0.105,0.675,0.588
0.333,0.0,0.0,0.333,0.0,0.333,0.127,0.011000000000000001,0.94,0.10099999999999999,0.6629999999999999,0.55
0.0,0.333,0.0,0.333,0.0,0.333,0.156,0.017,0.99,0.10300000000000001,0.65,0.575
0.0,0.0,0.333,0.333,0.0,0.333,0.157,0.016,1.07,0.114,0.65,0.525
0.333,0.0,0.0,0.0,0.333,0.333,0.138,0.013999999999999999,0.96,0.10099999999999999,0.7,0.55
0.0,0.333,0.0,0.0,0.333,0.333,0.138,0.012,0.97,0.08800000000000001,0.638,0.625
0.0,0.0,0.333,0.0,0.333,0.333,0.141,0.013999999999999999,0.95,0.1,0.6629999999999999,0.525
0.0,0.0,0.0,0.333,0.333,0.333,0.09,0.0,1.13,0.113,0.588,0.45
0.25,0.25,0.25,0.25,0.0,0.0,0.191,0.024,1.06,0.113,0.7,0.575
0.25,0.25,0.25,0.0,0.25,0.0,0.17,0.019,1.02,0.10300000000000001,0.713,0.65
0.25,0.25,0.0,0.25,0.25,0.0,0.15,0.015,0.98,0.09300000000000001,0.7,0.613
0.25,0.0,0.25,0.25,0.25,0.0,0.153,0.015,1.08,0.111,0.6629999999999999,0.5379999999999999
0.0,0.25,0.25,0.25,0.25,0.0,0.152,0.013999999999999999,1.05,0.098,0.675,0.625
0.25,0.25,0.25,0.0,0.0,0.25,0.177,0.023,0.97,0.10800000000000001,0.688,0.588
0.25,0.25,0.0,0.25,0.0,0.25,0.17,0.023,0.86,0.094,0.675,0.638
0.25,0.0,0.25,0.25,0.0,0.25,0.154,0.017,1.04,0.11699999999999999,0.65,0.513
0.0,0.25,0.25,0.25,0.0,0.25,0.179,0.022000000000000002,1.0,0.106,0.713,0.613
0.25,0.25,0.0,0.0,0.25,0.25,0.163,0.021,0.83,0.086,0.75,0.638
0.25,0.0,0.25,0.0,0.25,0.25,0.153,0.016,1.03,0.109,0.7,0.6
0.0,0.25,0.25,0.0,0.25,0.25,0.16399999999999998,0.019,0.93,0.092,0.7,0.625
0.25,0.0,0.0,0.25,0.25,0.25,0.129,0.012,0.89,0.091,0.675,0.525
0.0,0.25,0.0,0.25,0.25,0.25,0.14,0.012,1.01,0.09699999999999999,0.65,0.563
0.0,0.0,0.25,0.25,0.25,0.25,0.138,0.013000000000000001,0.97,0.099,0.675,0.5379999999999999
0.2,0.2,0.2,0.2,0.2,0.0,0.172,0.02,1.01,0.102,0.713,0.6
0.2,0.2,0.2,0.2,0.0,0.2,0.18100000000000002,0.023,0.96,0.105,0.675,0.575
0.2,0.2,0.2,0.0,0.2,0.2,0.171,0.022000000000000002,0.94,0.1,0.7,0.638
0.2,0.2,0.0,0.2,0.2,0.2,0.153,0.018000000000000002,0.88,0.087,0.725,0.638
0.2,0.0,0.2,0.2,0.2,0.2,0.156,0.018000000000000002,0.97,0.10400000000000001,0.6629999999999999,0.525
0.0,0.2,0.2,0.2,0.2,0.2,0.161,0.018000000000000002,0.98,0.094,0.688,0.6629999999999999
0.167,0.167,0.167,0.167,0.167,0.167,0.17300000000000001,0.022000000000000002,0.91,0.095,0.713,0.6629999999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.0208,0.975575441,0.0814,0.8,0.6
0.0,1.0,0.0,0.0,0.0,0.0,0.24960000000000002,0.004,1.350801027,0.0775,0.85,0.75
0.0,0.0,1.0,0.0,0.0,0.0,0.23120000000000002,0.013500000000000002,1.040006305,0.08779999999999999,0.8,0.4
0.0,0.0,0.0,1.0,0.0,0.0,0.20379999999999998,-0.0026,1.291898675,0.0886,0.7,0.6
0.0,0.0,0.0,0.0,1.0,0.0,0.1638,-0.0008,0.97470562,0.0461,0.8,0.45
0.0,0.0,0.0,0.0,0.0,1.0,0.17350000000000002,-0.0072,1.227074581,0.08070000000000001,0.75,0.5
0.5,0.5,0.0,0.0,0.0,0.0,0.2949,0.0246,1.060690113,0.0649,0.9,0.7
0.5,0.0,0.5,0.0,0.0,0.0,0.2559,0.0196,1.010396834,0.0834,0.8,0.5
0.0,0.5,0.5,0.0,0.0,0.0,0.2482,0.0124,1.138027976,0.07719999999999999,0.75,0.65
0.5,0.0,0.0,0.5,0.0,0.0,0.22760000000000002,0.0189,0.850334931,0.059800000000000006,0.85,0.55
0.0,0.5,0.0,0.5,0.0,0.0,0.2613,0.006999999999999999,1.351860421,0.0849,0.8,0.7
0.0,0.0,0.5,0.5,0.0,0.0,0.22829999999999998,0.0171,0.912782533,0.0718,0.8,0.6
0.5,0.0,0.0,0.0,0.5,0.0,0.2439,0.0154,1.015146796,0.057300000000000004,0.85,0.7
0.0,0.5,0.0,0.0,0.5,0.0,0.1845,-0.0074,1.264588698,0.0629,0.7,0.55
0.0,0.0,0.5,0.0,0.5,0.0,0.21530000000000002,0.0126,0.934076432,0.0572,0.85,0.55
0.0,0.0,0.0,0.5,0.5,0.0,0.15960000000000002,-0.0097,1.186506383,0.062,0.7,0.45
0.5,0.0,0.0,0.0,0.0,0.5,0.23850000000000002,0.0207,0.878797973,0.0727,0.9,0.5
0.0,0.5,0.0,0.0,0.0,0.5,0.2756,0.0073,1.416786913,0.087,0.85,0.8
0.0,0.0,0.5,0.0,0.0,0.5,0.2351,0.0147,1.020052502,0.0809,0.8,0.6
0.0,0.0,0.0,0.5,0.0,0.5,0.1867,-0.0060999999999999995,1.288934605,0.0895,0.75,0.55
0.0,0.0,0.0,0.0,0.5,0.5,0.1825,-0.0015,1.100084926,0.0548,0.7,0.6
0.333,0.333,0.333,0.0,0.0,0.0,0.2901,0.0227,1.091539761,0.0713,0.8,0.75
0.333,0.333,0.0,0.333,0.0,0.0,0.2491,0.0173,1.007484456,0.0663,0.8,0.55
0.333,0.0,0.333,0.333,0.0,0.0,0.2377,0.0171,0.960763719,0.0719,0.85,0.6
0.0,0.333,0.333,0.333,0.0,0.0,0.2581,0.013600000000000001,1.160275552,0.07769999999999999,0.8,0.65
0.333,0.333,0.0,0.0,0.333,0.0,0.2207,0.0038,1.179684242,0.0596,0.75,0.6
0.333,0.0,0.333,0.0,0.333,0.0,0.2553,0.0218,0.924903302,0.06269999999999999,0.8,0.6
0.0,0.333,0.333,0.0,0.333,0.0,0.2113,0.0025,1.165647357,0.06280000000000001,0.7,0.55
0.333,0.0,0.0,0.333,0.333,0.0,0.1881,0.01,0.844841145,0.04769999999999999,0.8,0.5
0.0,0.333,0.0,0.333,0.333,0.0,0.2061,-0.0042,1.312164113,0.0706,0.7,0.55
0.0,0.0,0.333,0.333,0.333,0.0,0.1894,0.0109,0.83478866,0.051399999999999994,0.8,0.55
0.333,0.333,0.0,0.0,0.0,0.333,0.28350000000000003,0.0246,1.008456897,0.0688,0.8,0.65
0.333,0.0,0.333,0.0,0.0,0.333,0.2473,0.018500000000000003,0.984688012,0.0787,0.8,0.55
0.0,0.333,0.333,0.0,0.0,0.333,0.2756,0.016200000000000003,1.18977821,0.0809,0.8,0.6
0.333,0.0,0.0,0.333,0.0,0.333,0.22039999999999998,0.0154,0.908043903,0.0689,0.8,0.65
0.0,0.333,0.0,0.333,0.0,0.333,0.2545,0.006999999999999999,1.317706331,0.08560000000000001,0.75,0.75
0.0,0.0,0.333,0.333,0.0,0.333,0.2398,0.015,1.035423441,0.0793,0.75,0.6
0.333,0.0,0.0,0.0,0.333,0.333,0.25079999999999997,0.0202,0.944525368,0.06480000000000001,0.85,0.6
0.0,0.333,0.0,0.0,0.333,0.333,0.2241,-0.0008,1.322436117,0.0703,0.7,0.7
0.0,0.0,0.333,0.0,0.333,0.333,0.22820000000000001,0.0158,0.940287944,0.0689,0.8,0.55
0.0,0.0,0.0,0.333,0.333,0.333,0.1595,-0.0087,1.177865753,0.0736,0.65,0.5
0.25,0.25,0.25,0.25,0.0,0.0,0.2667,0.0189,1.067782415,0.0731,0.75,0.65
0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0131,1.105712056,0.0613,0.85,0.65
0.25,0.25,0.0,0.25,0.25,0.0,0.20379999999999998,0.0034000000000000002,1.099080976,0.0581,0.7,0.6
0.25,0.0,0.25,0.25,0.25,0.0,0.22399999999999998,0.0187,0.831234363,0.0541,0.8,0.6
0.0,0.25,0.25,0.25,0.25,0.0,0.2079,0.0034000000000000002,1.126194056,0.06309999999999999,0.8,0.7
0.25,0.25,0.25,0.0,0.0,0.25,0.28350000000000003,0.0235,1.045163092,0.0759,0.8,0.55
0.25,0.25,0.0,0.25,0.0,0.25,0.2607,0.0217,0.964960025,0.06860000000000001,0.8,0.65
0.25,0.0,0.25,0.25,0.0,0.25,0.2369,0.019799999999999998,0.898630752,0.0756,0.8,0.65
0.0,0.25,0.25,0.25,0.0,0.25,0.2788,0.0202,1.10937736,0.0796,0.85,0.7
0.25,0.25,0.0,0.0,0.25,0.25,0.2605,0.0176,1.048478133,0.0579,0.9,0.75
0.25,0.0,0.25,0.0,0.25,0.25,0.261,0.0226,0.940957638,0.0674,0.85,0.65
0.0,0.25,0.25,0.0,0.25,0.25,0.2483,0.0098,1.191600371,0.0708,0.8,0.6
0.25,0.0,0.0,0.25,0.25,0.25,0.1938,0.0139,0.784163442,0.05,0.8,0.55
0.0,0.25,0.0,0.25,0.25,0.25,0.2237,0.0,1.314775803,0.07730000000000001,0.75,0.7
0.0,0.0,0.25,0.25,0.25,0.25,0.20579999999999998,0.0124,0.899535387,0.065,0.8,0.5
0.2,0.2,0.2,0.2,0.2,0.0,0.2324,0.013999999999999999,0.991586188,0.057800000000000004,0.8,0.65
0.2,0.2,0.2,0.2,0.0,0.2,0.2736,0.0259,0.9339347,0.07339999999999999,0.8,0.6
0.2,0.2,0.2,0.0,0.2,0.2,0.27649999999999997,0.020499999999999997,1.069434419,0.066,0.8,0.65
0.2,0.2,0.0,0.2,0.2,0.2,0.23070000000000002,0.0116,1.043684198,0.0605,0.8,0.7
0.2,0.0,0.2,0.2,0.2,0.2,0.2347,0.0229,0.794886766,0.0629,0.8,0.55
0.0,0.2,0.2,0.2,0.2,0.2,0.2429,0.0113,1.125114122,0.0677,0.8,0.8
0.167,0.167,0.167,0.167,0.167,0.167,0.2416,0.0182,0.941707524,0.060700000000000004,0.8,0.7
1.0,0.0,0.0,0.0,0.0,0.0,0.077,-0.0159,0.736939118,0.0959,0.6,0.3
0.0,1.0,0.0,0.0,0.0,0.0,0.1675,-0.0174,1.169840693,0.10300000000000001,0.7,0.4
0.0,0.0,1.0,0.0,0.0,0.0,0.09759999999999999,-0.026000000000000002,1.049221017,0.11130000000000001,0.55,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.2034,-0.0168,1.438915867,0.16405000000000003,0.7,0.4
0.0,0.0,0.0,0.0,1.0,0.0,0.17850000000000002,-0.0089,1.016982577,0.0794,0.85,0.25
0.0,0.0,0.0,0.0,0.0,1.0,0.0836,-0.032799999999999996,1.108073232,0.1067,0.55,0.4
0.5,0.5,0.0,0.0,0.0,0.0,0.1439,-0.0018,0.754226232,0.0913,0.7,0.35
0.5,0.0,0.5,0.0,0.0,0.0,0.08650000000000001,-0.0245,0.971649448,0.1116,0.55,0.3
0.0,0.5,0.5,0.0,0.0,0.0,0.1422,-0.0154,1.021586639,0.1009,0.6,0.4
0.5,0.0,0.0,0.5,0.0,0.0,0.11220000000000001,-0.0053,0.680928616,0.08779999999999999,0.65,0.4
0.0,0.5,0.0,0.5,0.0,0.0,0.22030000000000002,-0.009899999999999999,1.294860056,0.1281,0.65,0.4
0.0,0.0,0.5,0.5,0.0,0.0,0.1182,-0.0219,1.054915615,0.1072,0.65,0.25
0.5,0.0,0.0,0.0,0.5,0.0,0.121,-0.0070999999999999995,0.739862525,0.0805,0.7,0.25
0.0,0.5,0.0,0.0,0.5,0.0,0.1826,-0.011699999999999999,1.102439249,0.0895,0.65,0.45
0.0,0.0,0.5,0.0,0.5,0.0,0.13720000000000002,-0.0144,0.964126018,0.09050000000000001,0.65,0.3
0.0,0.0,0.0,0.5,0.5,0.0,0.1855,-0.0147,1.21266136,0.1143,0.75,0.25
0.5,0.0,0.0,0.0,0.0,0.5,0.0701,-0.0183,0.74633,0.09369999999999999,0.55,0.3
0.0,0.5,0.0,0.0,0.0,0.5,0.153,-0.0147,1.062628689,0.1048,0.6,0.4
0.0,0.0,0.5,0.0,0.0,0.5,0.0886,-0.0263,1.012740704,0.1093,0.55,0.3
0.0,0.0,0.0,0.5,0.0,0.5,0.1547,-0.016200000000000003,1.181985597,0.14429999999999998,0.6,0.4
0.0,0.0,0.0,0.0,0.5,0.5,0.13269999999999998,-0.0204,1.056644306,0.08960000000000001,0.65,0.3
0.333,0.333,0.333,0.0,0.0,0.0,0.1177,-0.013300000000000001,0.878020616,0.10220000000000001,0.6,0.35
0.333,0.333,0.0,0.333,0.0,0.0,0.1666,-0.0032,0.891597204,0.09910000000000001,0.65,0.35
0.333,0.0,0.333,0.333,0.0,0.0,0.109,-0.0132,0.833827479,0.09939999999999999,0.65,0.25
0.0,0.333,0.333,0.333,0.0,0.0,0.1745,-0.0091,1.049338353,0.1059,0.65,0.35
0.333,0.333,0.0,0.0,0.333,0.0,0.1365,-0.0079,0.824096842,0.0816,0.7,0.35
0.333,0.0,0.333,0.0,0.333,0.0,0.1175,-0.0167,0.93617761,0.0986,0.65,0.25
0.0,0.333,0.333,0.0,0.333,0.0,0.1412,-0.0172,1.037998429,0.0931,0.65,0.3
0.333,0.0,0.0,0.333,0.333,0.0,0.12300000000000001,-0.006999999999999999,0.746758539,0.08,0.7,0.3
0.0,0.333,0.0,0.333,0.333,0.0,0.2028,-0.013000000000000001,1.244838663,0.11,0.75,0.4
0.0,0.0,0.333,0.333,0.333,0.0,0.12179999999999999,-0.0184,0.973875915,0.08960000000000001,0.6,0.3
0.333,0.333,0.0,0.0,0.0,0.333,0.1216,-0.008,0.784396339,0.0956,0.7,0.35
0.333,0.0,0.333,0.0,0.0,0.333,0.071,-0.0255,0.913372244,0.10769999999999999,0.5,0.35
